Time duration [s];Power [W]
60;0.0
120;0.0
180;0.0
240;0.0
300;0.0
360;0.0
420;0.0
480;0.0
540;0.0
600;0.0
660;0.0
720;0.0
780;0.0
840;0.0
900;0.0
960;0.0
1020;0.0
1080;0.0
1140;0.0
1200;144.334
1260;128.353
1320;122.474
1380;120.312
1440;119.516
1500;119.223
1560;119.116
1620;119.076
1680;119.061
1740;119.056
1800;119.054
1860;119.053
1920;119.053
1980;119.053
2040;0.0
2100;0.0
2160;0.0
2220;0.0
2280;0.0
2340;0.0
2400;0.0
2460;0.0
2520;0.0
2580;0.0
2640;0.0
2700;0.0
2760;0.0
2820;0.0
2880;0.0
2940;0.0
3000;0.0
3060;0.0
3120;0.0
3180;0.0
3240;0.0
3300;0.0
3360;0.0
3420;0.0
3480;0.0
3540;0.0
3600;0.0
3660;0.0
3720;0.0
3780;0.0
3840;0.0
3900;0.0
3960;320.804
4020;249.103
4080;222.726
4140;213.022
4200;209.452
4260;377.228
4320;343.702
4380;331.368
4440;326.831
4500;325.16200000000003
4560;324.548
4620;324.321
4680;324.238
4740;324.20799999999997
4800;324.197
4860;324.193
4920;324.192
4980;324.19100000000003
5040;324.19100000000003
5100;207.375
5160;207.375
5220;207.375
5280;207.375
5340;207.375
5400;207.375
5460;207.375
5520;207.375
5580;207.375
5640;207.375
5700;207.375
5760;207.375
5820;207.375
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;0.0
6300;0.0
6360;0.0
6420;0.0
6480;0.0
6540;0.0
6600;0.0
6660;0.0
6720;0.0
6780;0.0
6840;0.0
6900;0.0
6960;0.0
7020;0.0
7080;0.0
7140;0.0
7200;0.0
7260;0.0
7320;0.0
7380;212.902
7440;154.991
7500;133.687
7560;125.849
7620;122.966
7680;121.906
7740;121.515
7800;121.372
7860;121.319
7920;121.3
7980;121.292
8040;121.29
8100;121.289
8160;121.288
8220;0.0
8280;0.0
8340;0.0
8400;0.0
8460;0.0
8520;0.0
8580;0.0
8640;0.0
8700;0.0
8760;0.0
8820;0.0
8880;0.0
8940;0.0
9000;0.0
9060;0.0
