Time duration [s];Power [W]
60;209.356
120;209.356
180;209.356
240;209.356
300;209.356
360;209.356
420;209.356
480;209.356
540;209.356
600;209.356
660;209.356
720;209.356
780;209.356
840;0.0
900;0.0
960;0.0
1020;0.0
1080;0.0
1140;0.0
1200;0.0
1260;0.0
1320;0.0
1380;0.0
1440;0.0
1500;0.0
1560;0.0
1620;0.0
1680;0.0
1740;0.0
1800;158.47
1860;134.271
1920;125.369
1980;122.094
2040;120.889
2100;120.446
2160;120.283
2220;120.223
2280;120.201
2340;120.193
2400;120.19
2460;120.189
2520;0.0
2580;0.0
2640;0.0
2700;0.0
2760;0.0
2820;0.0
2880;0.0
2940;0.0
3000;0.0
3060;0.0
3120;0.0
3180;0.0
3240;0.0
3300;0.0
3360;0.0
3420;0.0
3480;0.0
3540;0.0
3600;0.0
3660;0.0
3720;0.0
3780;0.0
3840;0.0
3900;0.0
3960;0.0
4020;0.0
4080;0.0
4140;0.0
4200;0.0
4260;0.0
4320;0.0
4380;0.0
4440;0.0
4500;0.0
4560;0.0
4620;0.0
4680;0.0
4740;0.0
4800;0.0
4860;0.0
4920;167.182
4980;137.277
5040;126.275
5100;122.228
5160;120.739
5220;120.191
5280;471.91700000000003
5340;382.165
5400;349.146
5460;336.999
5520;332.531
5580;330.887
5640;330.282
5700;330.06
5760;329.978
5820;329.948
5880;210.064
5940;210.06
6000;210.058
6060;210.058
6120;210.058
6180;210.058
6240;210.058
6300;210.058
6360;210.058
6420;210.058
6480;210.058
6540;210.058
6600;210.058
6660;210.058
6720;210.058
6780;210.058
6840;210.058
6900;210.058
6960;210.058
7020;0.0
7080;0.0
7140;0.0
7200;0.0
7260;0.0
7320;0.0
7380;0.0
7440;0.0
7500;0.0
7560;0.0
7620;0.0
7680;0.0
7740;0.0
7800;0.0
7860;0.0
7920;0.0
7980;143.027
8040;129.017
8100;123.863
8160;121.967
8220;121.27
8280;121.013
8340;120.919
8400;120.884
8460;120.871
8520;120.867
8580;120.865
8640;120.864
8700;120.864
8760;120.864
8820;0.0
8880;0.0
8940;0.0
9000;0.0
9060;0.0
9120;0.0
9180;0.0
9240;0.0
9300;0.0
9360;0.0
9420;0.0
9480;0.0
9540;0.0
9600;0.0
9660;0.0
9720;0.0
9780;0.0
9840;0.0
9900;0.0
9960;0.0
10020;0.0
10080;0.0
10140;0.0
10200;0.0
10260;0.0
10320;0.0
10380;0.0
10440;0.0
10500;0.0
10560;0.0
10620;0.0
10680;0.0
10740;0.0
10800;0.0
10860;270.262
10920;374.23699999999997
10980;344.661
11040;333.78200000000004
11100;329.778
11160;328.306
11220;327.764
11280;327.565
11340;327.49199999999996
11400;327.46500000000003
11460;327.45500000000004
11520;327.451
11580;327.451
11640;327.449
11700;327.449
11760;327.449
11820;327.449
11880;327.449
11940;206.863
12000;206.863
12060;206.863
12120;206.863
12180;206.863
12240;206.863
12300;206.863
12360;206.863
12420;0.0
12480;0.0
12540;0.0
12600;0.0
12660;0.0
12720;0.0
12780;0.0
12840;0.0
12900;0.0
12960;0.0
13020;0.0
13080;0.0
13140;0.0
13200;0.0
13260;0.0
13320;0.0
13380;0.0
13440;0.0
13500;0.0
13560;0.0
13620;0.0
13680;0.0
13740;0.0
13800;0.0
13860;0.0
13920;0.0
13980;0.0
14040;0.0
14100;0.0
14160;0.0
14220;0.0
14280;192.519
14340;146.966
14400;130.208
14460;124.043
14520;121.775
14580;120.941
14640;120.634
14700;120.521
14760;120.479
14820;120.464
14880;120.458
14940;120.456
15000;120.456
15060;120.455
15120;120.455
15180;120.455
15240;0.0
15300;0.0
15360;0.0
15420;0.0
15480;0.0
15540;0.0
15600;0.0
15660;0.0
15720;0.0
15780;0.0
15840;0.0
15900;0.0
15960;0.0
16020;0.0
16080;0.0
16140;0.0
16200;0.0
16260;0.0
16320;364.181
16380;266.906
