Time duration [s];Power [W]
60;0.0
120;0.0
180;0.0
240;0.0
300;0.0
360;0.0
420;0.0
480;0.0
540;0.0
600;0.0
660;0.0
720;0.0
780;0.0
840;0.0
900;0.0
960;0.0
1020;0.0
1080;0.0
1140;159.042
1200;133.456
1260;124.043
1320;120.581
1380;119.307
1440;118.838
1500;118.666
1560;118.602
1620;118.579
1680;118.57
1740;118.567
1800;118.566
1860;118.566
1920;0.0
1980;0.0
2040;0.0
2100;0.0
2160;0.0
2220;0.0
2280;0.0
2340;0.0
2400;0.0
2460;0.0
2520;0.0
2580;0.0
2640;0.0
2700;0.0
2760;0.0
2820;0.0
2880;0.0
2940;0.0
3000;0.0
3060;0.0
3120;0.0
3180;0.0
3240;0.0
3300;0.0
3360;0.0
3420;0.0
3480;220.505
3540;214.537
3600;212.342
3660;211.534
3720;211.237
3780;211.128
3840;211.087
3900;211.073
3960;211.067
4020;398.664
4080;355.913
4140;340.187
4200;334.401
4260;332.273
4320;331.49
4380;331.202
4440;331.096
4500;331.057
4560;331.042
4620;331.037
4680;331.03499999999997
4740;331.034
4800;331.034
4860;331.034
4920;331.034
4980;211.064
5040;211.064
5100;211.064
5160;211.064
5220;211.064
5280;211.064
5340;0.0
5400;0.0
5460;0.0
5520;0.0
5580;0.0
5640;0.0
5700;0.0
5760;0.0
5820;0.0
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;0.0
6300;0.0
6360;0.0
6420;0.0
6480;0.0
6540;0.0
6600;0.0
6660;0.0
6720;0.0
6780;0.0
6840;0.0
6900;0.0
6960;0.0
7020;0.0
7080;0.0
7140;0.0
7200;183.12
7260;145.494
7320;131.653
7380;126.561
7440;124.687
7500;123.998
7560;123.745
7620;123.652
7680;123.617
7740;123.605
7800;123.6
7860;123.598
7920;123.598
7980;123.597
8040;123.597
8100;0.0
8160;0.0
8220;0.0
8280;0.0
8340;0.0
8400;0.0
8460;0.0
8520;0.0
8580;0.0
8640;0.0
8700;0.0
8760;0.0
8820;0.0
8880;0.0
8940;0.0
9000;0.0
9060;0.0
9120;0.0
