Time duration [s];Power [W]
60;0.0
120;0.0
180;0.0
240;0.0
300;0.0
360;0.0
420;0.0
480;0.0
540;0.0
600;140.505
660;127.385
720;122.559
780;120.783
840;120.13
900;119.89
960;119.801
1020;119.769
1080;119.757
1140;119.753
1200;119.751
1260;119.75
1320;119.75
1380;328.592
1440;254.798
1500;227.65
1560;217.663
1620;213.989
1680;212.638
1740;212.141
1800;211.958
1860;211.89
1920;211.866
1980;211.857
2040;211.853
2100;211.852
2160;211.851
2220;211.851
2280;211.851
2340;211.851
2400;211.851
2460;211.851
2520;211.851
2580;211.851
2640;211.851
2700;211.851
2760;211.851
2820;211.851
2880;211.851
2940;211.851
3000;211.851
3060;211.851
3120;211.851
3180;211.851
3240;211.851
3300;0.0
3360;0.0
3420;0.0
3480;153.363
3540;131.368
3600;123.276
3660;120.299
3720;119.204
3780;118.801
3840;118.653
3900;118.598
3960;118.578
4020;118.571
4080;118.568
4140;118.567
4200;118.567
4260;118.567
4320;118.567
4380;0.0
4440;0.0
4500;0.0
4560;0.0
4620;0.0
4680;0.0
4740;0.0
4800;0.0
4860;0.0
4920;0.0
4980;0.0
5040;0.0
5100;0.0
5160;0.0
5220;0.0
5280;0.0
5340;0.0
5400;0.0
5460;0.0
5520;0.0
5580;0.0
5640;0.0
5700;0.0
5760;0.0
5820;0.0
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;0.0
6300;0.0
6360;0.0
6420;0.0
6480;0.0
6540;0.0
6600;0.0
6660;0.0
6720;175.942
6780;140.034
6840;126.824
6900;121.965
6960;120.177
7020;119.519
7080;119.277
7140;119.188
7200;119.156
7260;119.144
7320;119.139
7380;119.137
7440;119.137
7500;400.225
7560;356.163
7620;339.953
7680;333.98900000000003
7740;331.796
7800;211.852
7860;211.555
7920;211.446
7980;211.405
8040;211.391
8100;211.385
8160;211.383
8220;211.382
8280;211.382
8340;211.382
8400;211.382
8460;211.382
8520;211.382
8580;211.382
8640;211.382
8700;211.382
8760;211.382
8820;211.382
8880;211.382
8940;211.382
9000;211.382
9060;211.382
9120;0.0
