Time duration [s];Power [W]
60;0.0
120;0.0
180;0.0
240;0.0
300;0.0
360;225.748
420;158.135
480;133.261
540;124.111
600;120.744
660;119.506
720;119.05
780;118.883
840;118.821
900;118.799
960;118.79
1020;118.787
1080;118.786
1140;118.786
1200;118.785
1260;118.785
1320;0.0
1380;0.0
1440;0.0
1500;0.0
1560;211.806
1620;207.643
1680;206.112
1740;205.548
1800;205.341
1860;205.265
1920;205.237
1980;205.226
2040;205.223
2100;205.221
2160;205.221
2220;205.22
2280;205.22
2340;205.22
2400;205.22
2460;205.22
2520;205.22
2580;205.22
2640;205.22
2700;205.22
2760;205.22
2820;205.22
2880;205.22
2940;205.22
3000;205.22
3060;205.22
3120;205.22
3180;0.0
3240;0.0
3300;0.0
3360;0.0
3420;0.0
3480;213.82
3540;153.817
3600;131.744
3660;123.624
3720;120.636
3780;119.537
3840;119.133
3900;118.984
3960;118.93
4020;118.909
4080;118.902
4140;118.899
4200;118.898
4260;118.898
4320;118.898
4380;0.0
4440;0.0
4500;0.0
4560;0.0
4620;0.0
4680;0.0
4740;0.0
4800;0.0
4860;0.0
4920;0.0
4980;0.0
5040;0.0
5100;0.0
5160;0.0
5220;0.0
5280;0.0
5340;0.0
5400;0.0
5460;0.0
5520;0.0
5580;0.0
5640;0.0
5700;0.0
5760;0.0
5820;0.0
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;0.0
6300;0.0
6360;0.0
6420;0.0
6480;0.0
6540;0.0
6600;0.0
6660;0.0
6720;204.005
6780;151.293
6840;131.901
6900;124.767
6960;122.143
7020;121.177
7080;415.744
7140;361.321
7200;341.301
7260;333.93600000000004
7320;331.226
7380;330.23
7440;329.863
7500;329.727
7560;329.678
7620;329.659
7680;209.038
7740;209.035
7800;209.034
7860;209.034
7920;209.034
7980;209.034
8040;209.034
8100;209.034
8160;209.034
8220;209.034
8280;209.034
8340;209.034
8400;209.034
8460;209.034
8520;209.034
8580;209.034
8640;209.034
8700;209.034
8760;209.034
8820;209.034
8880;209.034
8940;209.034
9000;0.0
9060;0.0
9120;0.0
