Time duration [s];Power [W]
60;0.0
120;0.0
180;0.0
240;0.0
300;0.0
360;0.0
420;0.0
480;0.0
540;0.0
600;0.0
660;0.0
720;0.0
780;0.0
840;0.0
900;0.0
960;0.0
1020;0.0
1080;0.0
1140;0.0
1200;0.0
1260;0.0
1320;0.0
1380;0.0
1440;0.0
1500;0.0
1560;0.0
1620;0.0
1680;0.0
1740;0.0
1800;121.298
1860;120.968
1920;120.846
1980;120.802
2040;120.785
2100;120.779
2160;120.777
2220;120.776
2280;120.776
2340;120.776
2400;120.776
2460;120.776
2520;120.776
2580;120.776
2640;120.776
2700;0.0
2760;0.0
2820;0.0
2880;0.0
2940;0.0
3000;0.0
3060;0.0
3120;0.0
3180;0.0
3240;0.0
3300;301.543
3360;244.379
3420;223.35
3480;215.614
3540;212.768
3600;211.721
3660;211.336
3720;211.194
3780;211.142
3840;211.123
3900;211.116
3960;211.113
4020;211.112
4080;211.112
4140;211.112
4200;211.112
4260;211.112
4320;211.112
4380;211.112
4440;211.112
4500;211.112
4560;357.43
4620;341.06899999999996
4680;335.05
4740;332.836
4800;332.022
4860;331.722
4920;331.61199999999997
4980;120.459
5040;120.444
5100;120.439
5160;120.437
5220;120.436
5280;120.436
5340;120.436
5400;120.436
5460;0.0
5520;0.0
5580;0.0
5640;0.0
5700;0.0
5760;0.0
5820;0.0
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;0.0
6300;0.0
6360;0.0
6420;0.0
6480;0.0
6540;0.0
6600;0.0
6660;0.0
6720;0.0
6780;0.0
6840;0.0
6900;0.0
6960;0.0
7020;0.0
7080;0.0
7140;0.0
7200;0.0
7260;0.0
7320;0.0
7380;0.0
7440;0.0
7500;0.0
7560;0.0
7620;0.0
7680;203.37
7740;150.874
7800;131.562
7860;124.457
7920;121.843
7980;120.882
8040;120.528
8100;120.398
8160;120.35
8220;120.333
8280;120.326
8340;120.324
8400;120.323
8460;120.323
8520;120.322
8580;0.0
8640;0.0
8700;0.0
8760;0.0
8820;0.0
8880;0.0
8940;0.0
9000;0.0
9060;0.0
9120;0.0
