Time duration [s];Power [W]
60;0.0
120;0.0
180;0.0
240;0.0
300;0.0
360;0.0
420;0.0
480;0.0
540;143.953
600;128.883
660;123.339
720;121.299
780;120.549
840;120.273
900;120.171
960;120.134
1020;120.12
1080;120.115
1140;120.113
1200;120.113
1260;120.113
1320;120.112
1380;120.112
1440;120.112
1500;0.0
1560;0.0
1620;0.0
1680;0.0
1740;0.0
1800;0.0
1860;0.0
1920;0.0
1980;0.0
2040;0.0
2100;0.0
2160;0.0
2220;0.0
2280;0.0
2340;0.0
2400;0.0
2460;0.0
2520;0.0
2580;0.0
2640;0.0
2700;0.0
2760;0.0
2820;320.171
2880;248.421
2940;222.026
3000;212.316
3060;208.744
3120;207.43
3180;206.946
3240;206.768
3300;206.703
3360;374.48400000000004
3420;343.89300000000003
3480;332.639
3540;328.498
3600;326.976
3660;326.416
3720;326.21
3780;326.134
3840;326.106
3900;326.096
3960;326.092
4020;326.091
4080;326.09
4140;326.09
4200;326.09
4260;206.665
4320;206.665
4380;206.665
4440;206.665
4500;206.665
4560;206.665
4620;206.665
4680;0.0
4740;0.0
4800;0.0
4860;0.0
4920;0.0
4980;0.0
5040;0.0
5100;0.0
5160;0.0
5220;0.0
5280;0.0
5340;0.0
5400;0.0
5460;0.0
5520;0.0
5580;0.0
5640;0.0
5700;0.0
5760;0.0
5820;0.0
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;133.017
6300;124.252
6360;121.028
6420;119.841
6480;119.405
6540;119.244
6600;119.185
6660;119.164
6720;119.156
6780;119.153
6840;119.152
6900;119.151
6960;119.151
7020;119.151
7080;119.151
7140;119.151
7200;0.0
7260;0.0
7320;0.0
7380;0.0
7440;0.0
7500;0.0
7560;0.0
7620;0.0
7680;0.0
7740;0.0
7800;0.0
7860;0.0
7920;0.0
7980;0.0
8040;0.0
8100;0.0
8160;0.0
8220;0.0
8280;0.0
8340;0.0
8400;0.0
8460;0.0
8520;0.0
8580;0.0
8640;0.0
8700;0.0
8760;0.0
8820;0.0
8880;228.111
8940;216.995
9000;212.905
9060;211.401
9120;210.847
