Time duration [s];Power [W]
60;331.204
120;331.199
180;331.197
240;331.196
300;331.196
360;211.479
420;211.479
480;211.479
540;0.0
600;0.0
660;0.0
720;0.0
780;0.0
840;0.0
900;0.0
960;0.0
1020;0.0
1080;0.0
1140;0.0
1200;0.0
1260;0.0
1320;0.0
1380;0.0
1440;0.0
1500;0.0
1560;0.0
1620;0.0
1680;0.0
1740;0.0
1800;0.0
1860;0.0
1920;0.0
1980;0.0
2040;158.776
2100;135.107
2160;126.4
2220;123.197
2280;122.018
2340;121.585
2400;121.425
2460;121.367
2520;121.345
2580;121.337
2640;121.334
2700;121.333
2760;121.333
2820;121.332
2880;0.0
2940;0.0
3000;0.0
3060;0.0
3120;0.0
3180;0.0
3240;0.0
3300;0.0
3360;0.0
3420;0.0
3480;0.0
3540;0.0
3600;0.0
3660;0.0
3720;0.0
3780;0.0
3840;0.0
3900;0.0
3960;0.0
4020;0.0
4080;0.0
4140;0.0
4200;0.0
4260;0.0
4320;0.0
4380;0.0
4440;0.0
4500;0.0
4560;0.0
4620;0.0
4680;0.0
4740;0.0
4800;0.0
4860;0.0
4920;0.0
4980;172.667
5040;139.049
5100;126.681
5160;122.131
5220;120.457
5280;119.842
5340;119.615
5400;119.532
5460;119.501
5520;119.49
5580;119.486
5640;119.484
5700;119.484
5760;119.484
5820;119.483
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;0.0
6300;0.0
6360;0.0
6420;0.0
6480;0.0
6540;0.0
6600;0.0
6660;0.0
6720;0.0
6780;0.0
6840;0.0
6900;0.0
6960;0.0
7020;0.0
7080;0.0
7140;0.0
7200;0.0
7260;0.0
7320;0.0
7380;0.0
7440;0.0
7500;0.0
7560;0.0
7620;0.0
7680;0.0
7740;0.0
7800;0.0
7860;0.0
7920;0.0
7980;0.0
8040;0.0
8100;0.0
8160;0.0
8220;0.0
8280;0.0
8340;0.0
8400;0.0
8460;0.0
8520;0.0
8580;0.0
8640;0.0
8700;0.0
8760;0.0
8820;0.0
8880;0.0
8940;0.0
9000;0.0
9060;0.0
9120;0.0
9180;0.0
9240;0.0
9300;0.0
9360;0.0
9420;0.0
9480;0.0
9540;0.0
9600;0.0
9660;0.0
9720;0.0
9780;0.0
9840;0.0
9900;0.0
9960;0.0
10020;0.0
10080;0.0
10140;0.0
10200;0.0
10260;0.0
10320;0.0
10380;0.0
10440;0.0
10500;0.0
10560;0.0
10620;0.0
10680;0.0
10740;0.0
10800;0.0
10860;0.0
10920;0.0
10980;0.0
11040;0.0
11100;0.0
11160;0.0
11220;0.0
11280;341.478
11340;260.008
11400;230.036
11460;219.01
11520;214.954
11580;213.462
11640;212.913
11700;212.711
11760;212.637
11820;212.61
11880;212.6
11940;212.596
12000;212.594
12060;212.594
12120;212.594
12180;212.594
12240;212.594
12300;212.594
12360;212.594
12420;212.594
12480;212.594
12540;212.594
12600;212.594
12660;212.594
12720;212.594
12780;212.594
12840;212.594
12900;212.594
12960;212.594
13020;212.594
13080;212.594
13140;212.594
13200;212.594
13260;212.594
13320;212.594
13380;212.594
13440;212.594
13500;212.594
13560;212.594
13620;212.594
13680;212.594
13740;212.594
13800;212.594
13860;212.594
13920;212.594
13980;212.594
14040;0.0
14100;0.0
14160;0.0
14220;0.0
14280;0.0
14340;0.0
14400;0.0
14460;0.0
14520;0.0
14580;0.0
14640;0.0
14700;0.0
14760;0.0
14820;0.0
14880;0.0
14940;0.0
15000;188.717
15060;146.569
15120;131.063
15180;125.359
15240;123.261
15300;122.489
15360;122.205
15420;122.1
15480;122.062
15540;122.048
15600;122.043
15660;122.041
15720;122.04
15780;122.04
15840;122.04
15900;122.04
15960;122.04
16020;122.04
16080;122.04
16140;122.04
16200;122.04
16260;122.04
16320;122.04
16380;122.04
16440;122.04
16500;122.04
16560;122.04
16620;122.04
16680;122.04
16740;122.04
16800;122.04
16860;122.04
16920;122.04
16980;122.04
17040;122.04
17100;122.04
17160;122.04
17220;122.04
17280;0.0
17340;0.0
17400;0.0
17460;0.0
17520;0.0
17580;0.0
17640;291.357
17700;239.734
17760;220.742
17820;213.756
17880;211.186
17940;210.24
18000;209.892
18060;209.764
18120;209.717
18180;209.7
18240;209.694
18300;209.691
18360;209.691
18420;209.69
18480;209.69
18540;209.69
18600;209.69
18660;209.69
18720;209.69
18780;209.69
18840;209.69
18900;209.69
18960;209.69
19020;209.69
19080;209.69
19140;209.69
19200;209.69
19260;209.69
19320;0.0
19380;0.0
19440;0.0
19500;0.0
19560;0.0
19620;0.0
19680;0.0
19740;156.56
19800;132.627
19860;123.823
19920;120.584
19980;119.393
20040;118.954
20100;118.793
20160;118.734
20220;118.712
20280;118.704
20340;118.701
20400;118.7
20460;118.699
20520;118.699
20580;0.0
20640;0.0
20700;0.0
20760;0.0
20820;0.0
20880;0.0
20940;0.0
21000;0.0
21060;0.0
21120;0.0
21180;0.0
21240;0.0
21300;0.0
21360;0.0
21420;0.0
21480;0.0
21540;0.0
21600;0.0
21660;0.0
21720;0.0
21780;0.0
21840;0.0
21900;0.0
21960;0.0
22020;0.0
22080;0.0
22140;0.0
22200;0.0
22260;0.0
22320;0.0
22380;0.0
22440;0.0
22500;0.0
22560;0.0
