Time duration [s];Power [W]
60;330.63
120;330.63
180;330.63
240;330.63
300;330.63
360;209.469
420;209.469
480;209.469
540;209.469
600;209.469
660;209.469
720;209.469
780;209.469
840;209.469
900;209.469
960;209.469
1020;209.469
1080;209.469
1140;209.469
1200;0.0
1260;0.0
1320;0.0
1380;0.0
1440;0.0
1500;0.0
1560;0.0
1620;0.0
1680;0.0
1740;0.0
1800;0.0
1860;0.0
1920;0.0
1980;0.0
2040;0.0
2100;0.0
2160;0.0
2220;0.0
2280;138.058
2340;128.598
2400;125.118
2460;123.838
2520;123.367
2580;123.194
2640;123.13
2700;123.107
2760;123.098
2820;123.095
2880;123.094
2940;123.093
3000;123.093
3060;123.093
3120;123.093
3180;0.0
3240;0.0
3300;0.0
3360;0.0
3420;0.0
3480;0.0
3540;0.0
3600;0.0
3660;0.0
3720;0.0
3780;0.0
3840;0.0
3900;0.0
3960;0.0
4020;0.0
4080;0.0
4140;0.0
4200;0.0
4260;0.0
4320;0.0
4380;0.0
4440;0.0
4500;0.0
4560;0.0
4620;0.0
4680;0.0
4740;0.0
4800;0.0
4860;0.0
4920;0.0
4980;0.0
5040;0.0
5100;0.0
5160;0.0
5220;0.0
5280;0.0
5340;307.037
5400;484.85900000000004
5460;389.038
5520;353.78700000000003
5580;340.819
5640;336.04900000000004
5700;334.294
5760;333.64799999999997
5820;333.411
5880;333.324
5940;333.291
6000;333.28000000000003
6060;333.275
6120;333.273
6180;333.273
6240;333.272
6300;333.272
6360;213.114
6420;213.114
6480;213.114
6540;213.114
6600;213.114
6660;213.114
6720;213.114
6780;213.114
6840;213.114
6900;213.114
6960;213.114
7020;213.114
7080;213.114
7140;213.114
7200;0.0
7260;0.0
7320;0.0
7380;0.0
7440;0.0
7500;0.0
7560;0.0
7620;0.0
7680;0.0
7740;0.0
7800;0.0
7860;0.0
7920;0.0
7980;0.0
8040;0.0
8100;0.0
8160;0.0
8220;0.0
8280;0.0
8340;0.0
8400;0.0
8460;0.0
8520;0.0
8580;0.0
8640;0.0
8700;229.373
8760;159.48
8820;133.767
8880;124.308
8940;120.829
9000;119.549
9060;119.078
9120;118.904
9180;118.841
9240;118.817
9300;118.809
9360;118.805
9420;118.804
9480;118.804
9540;118.804
9600;118.804
9660;118.804
9720;0.0
9780;0.0
9840;0.0
9900;0.0
9960;0.0
10020;0.0
10080;0.0
10140;0.0
10200;0.0
10260;0.0
10320;0.0
10380;0.0
10440;0.0
10500;0.0
10560;0.0
10620;0.0
10680;0.0
10740;0.0
10800;0.0
10860;0.0
10920;0.0
10980;0.0
11040;0.0
11100;0.0
11160;0.0
11220;0.0
11280;0.0
11340;0.0
11400;0.0
11460;0.0
11520;0.0
11580;338.526
11640;256.729
11700;397.047
11760;355.203
11820;339.81
11880;334.14700000000005
11940;332.06399999999996
12000;331.297
12060;331.016
12120;330.911
12180;330.873
12240;330.86
12300;330.854
12360;330.853
12420;330.852
12480;209.125
12540;209.125
12600;209.125
12660;209.125
12720;209.125
12780;209.125
12840;209.125
12900;209.125
12960;209.125
13020;209.125
13080;209.125
13140;209.125
13200;209.125
13260;209.125
13320;209.125
13380;209.125
13440;0.0
13500;0.0
13560;0.0
13620;0.0
13680;0.0
13740;0.0
13800;0.0
13860;0.0
13920;0.0
13980;0.0
14040;0.0
14100;0.0
14160;0.0
14220;0.0
14280;0.0
14340;0.0
14400;0.0
14460;186.762
14520;144.804
14580;129.369
14640;123.69
14700;121.601
14760;120.833
14820;120.55
14880;120.446
14940;120.408
15000;120.394
15060;120.389
15120;120.387
15180;120.386
15240;120.386
15300;120.386
15360;120.386
15420;120.386
15480;0.0
15540;0.0
15600;0.0
15660;0.0
15720;0.0
15780;0.0
15840;0.0
15900;0.0
15960;0.0
16020;0.0
16080;0.0
16140;0.0
16200;0.0
16260;0.0
16320;0.0
16380;0.0
16440;0.0
16500;0.0
16560;0.0
16620;0.0
16680;0.0
16740;0.0
16800;0.0
16860;0.0
16920;0.0
16980;0.0
17040;0.0
17100;0.0
17160;0.0
17220;0.0
17280;0.0
17340;0.0
17400;0.0
17460;0.0
17520;0.0
17580;0.0
17640;0.0
17700;171.185
17760;140.24
17820;128.855
17880;458.16700000000003
17940;377.609
18000;347.972
18060;337.06899999999996
18120;333.05899999999997
18180;331.58299999999997
18240;331.041
18300;330.841
18360;330.76800000000003
18420;330.74
18480;330.73
18540;330.72700000000003
18600;330.725
18660;208.495
18720;208.495
18780;208.495
18840;208.495
18900;208.495
18960;208.495
19020;208.495
19080;208.495
19140;208.495
19200;208.495
19260;208.495
19320;208.495
19380;208.495
19440;208.495
19500;208.495
19560;208.495
19620;208.495
19680;208.495
19740;208.495
19800;208.495
19860;208.495
19920;0.0
19980;0.0
20040;0.0
20100;0.0
20160;0.0
20220;0.0
20280;0.0
20340;0.0
20400;0.0
20460;0.0
20520;0.0
20580;0.0
20640;0.0
20700;0.0
20760;0.0
20820;0.0
20880;0.0
20940;0.0
21000;0.0
21060;0.0
21120;0.0
21180;0.0
21240;0.0
21300;0.0
21360;52.3569
21420;52.3569
21480;52.3569
21540;52.3569
21600;52.3569
21660;52.3569
21720;52.3569
21780;52.3569
21840;52.3569
21900;52.3569
21960;52.3569
22020;52.3569
22080;52.3569
22140;52.3569
22200;52.3569
22260;52.3569
22320;52.3569
22380;52.3569
22440;52.3569
22500;52.3569
22560;52.3569
22620;52.3569
22680;52.3569
22740;52.3569
22800;52.3569
22860;52.3569
22920;52.3569
22980;52.3569
23040;52.3569
23100;52.3569
23160;52.3569
23220;0.0
23280;136.375
23340;126.332
23400;122.638
23460;121.279
23520;460.865
23580;377.67999999999995
23640;347.07800000000003
23700;335.82
23760;331.678
23820;330.154
23880;329.594
23940;329.38800000000003
24000;329.31100000000004
24060;329.284
24120;329.273
24180;434.178
24240;434.17600000000004
24300;434.17600000000004
24360;434.17600000000004
24420;434.175
24480;434.175
24540;434.175
24600;434.175
24660;434.175
24720;434.175
24780;434.175
24840;434.175
24900;434.175
24960;434.175
25020;434.175
25080;434.175
25140;434.175
25200;434.175
25260;434.175
25320;104.908
25380;104.908
25440;104.908
25500;104.908
25560;104.908
25620;104.908
25680;104.908
25740;104.908
25800;104.908
25860;104.908
25920;0.0
25980;0.0
26040;0.0
26100;0.0
26160;0.0
26220;0.0
26280;0.0
26340;0.0
26400;0.0
26460;0.0
26520;0.0
26580;0.0
26640;0.0
26700;0.0
26760;0.0
26820;0.0
26880;0.0
26940;0.0
27000;0.0
27060;0.0
27120;0.0
27180;0.0
27240;0.0
27300;0.0
27360;0.0
27420;200.093
27480;148.508
27540;129.532
27600;122.55
27660;119.982
27720;119.037
27780;118.69
27840;118.562
27900;118.515
27960;118.498
28020;118.491
28080;118.489
28140;236.007
28200;236.007
28260;236.007
28320;117.519
28380;117.519
28440;117.519
28500;117.519
28560;117.519
28620;117.519
28680;117.519
28740;117.519
28800;117.519
28860;117.519
28920;117.519
28980;117.519
29040;117.519
29100;117.519
29160;117.519
29220;117.519
29280;117.519
29340;117.519
29400;117.519
29460;117.519
29520;117.519
29580;117.519
29640;117.519
29700;117.519
29760;1307.699
29820;1307.699
29880;1307.699
29940;1307.699
30000;1307.699
30060;1307.699
30120;1576.611
30180;1711.109
30240;1664.0590000000002
30300;1646.75
30360;450.202
30420;447.86
30480;446.998
30540;446.681
30600;446.564
30660;446.521
30720;446.505
30780;328.981
30840;328.979
30900;328.978
30960;328.978
31020;328.978
31080;207.766
31140;207.766
31200;207.766
31260;207.766
31320;207.766
31380;207.766
31440;207.766
31500;207.766
31560;207.766
31620;207.766
31680;0.0
31740;0.0
31800;0.0
31860;0.0
31920;0.0
31980;0.0
32040;0.0
32100;0.0
32160;0.0
32220;0.0
32280;0.0
32340;0.0
32400;0.0
32460;0.0
32520;0.0
32580;0.0
32640;0.0
32700;0.0
32760;0.0
32820;0.0
32880;0.0
32940;0.0
33000;0.0
33060;0.0
33120;0.0
