Time duration [s];Power [W]
60;142.518
120;128.787
180;123.736
240;121.877
300;121.194
360;120.942
420;120.85
480;120.816
540;120.803
600;120.799
660;120.797
720;120.796
780;120.796
840;120.796
900;120.796
960;0.0
1020;0.0
1080;0.0
1140;0.0
1200;0.0
1260;0.0
1320;0.0
1380;0.0
1440;0.0
1500;0.0
1560;0.0
1620;0.0
1680;0.0
1740;0.0
1800;0.0
1860;0.0
1920;0.0
1980;0.0
2040;0.0
2100;0.0
2160;338.387
2220;256.933
2280;226.968
2340;215.945
2400;211.889
2460;210.397
2520;209.849
2580;209.647
2640;209.572
2700;209.545
2760;209.535
2820;209.531
2880;209.53
2940;209.529
3000;209.529
3060;209.529
3120;209.529
3180;405.967
3240;356.211
3300;337.907
3360;331.174
3420;328.697
3480;327.78499999999997
3540;327.45
3600;327.327
3660;117.752
3720;117.736
3780;117.73
3840;117.727
3900;117.726
3960;117.726
4020;117.726
4080;117.726
4140;117.726
4200;0.0
4260;0.0
4320;0.0
4380;0.0
4440;0.0
4500;0.0
4560;0.0
4620;0.0
4680;0.0
4740;0.0
4800;0.0
4860;0.0
4920;0.0
4980;0.0
5040;0.0
5100;0.0
5160;0.0
5220;0.0
5280;0.0
5340;0.0
5400;0.0
5460;0.0
5520;0.0
5580;0.0
5640;0.0
5700;0.0
5760;0.0
5820;0.0
5880;0.0
5940;0.0
6000;0.0
6060;0.0
6120;0.0
6180;0.0
6240;122.695
6300;121.409
6360;120.936
6420;120.762
6480;120.698
6540;120.674
6600;120.666
6660;120.663
6720;120.661
6780;120.661
6840;120.661
6900;120.661
6960;120.661
7020;120.661
7080;120.661
7140;120.661
7200;0.0
7260;0.0
7320;0.0
7380;0.0
7440;0.0
7500;0.0
7560;0.0
7620;0.0
7680;0.0
7740;248.896
7800;226.012
7860;217.593
7920;214.496
7980;213.357
8040;212.938
8100;212.784
8160;212.727
8220;212.706
8280;212.698
8340;212.696
8400;212.695
8460;212.694
8520;212.694
8580;212.694
8640;212.694
8700;212.694
8760;212.694
8820;212.694
8880;212.694
8940;212.694
9000;212.694
9060;212.694
9120;212.694
9180;0.0
9240;0.0
9300;0.0
9360;0.0
9420;0.0
9480;0.0
9540;0.0
9600;150.5
9660;130.184
9720;122.71
9780;119.961
9840;118.95
9900;118.577
9960;118.441
10020;118.39
10080;118.372
10140;118.365
10200;118.362
10260;118.361
10320;118.361
10380;118.361
10440;118.361
10500;0.0
10560;0.0
10620;0.0
10680;0.0
10740;0.0
10800;0.0
10860;0.0
10920;0.0
10980;0.0
11040;0.0
11100;0.0
11160;0.0
11220;0.0
11280;0.0
11340;0.0
11400;0.0
11460;0.0
11520;0.0
11580;0.0
11640;0.0
11700;0.0
11760;0.0
11820;0.0
11880;0.0
11940;0.0
12000;0.0
12060;0.0
12120;0.0
12180;218.338
12240;155.338
12300;132.161
12360;123.635
12420;120.498
12480;119.344
12540;118.92
12600;118.764
12660;118.706
12720;118.685
12780;118.677
12840;118.674
12900;118.673
12960;118.673
13020;0.0
13080;0.0
13140;0.0
13200;0.0
13260;0.0
13320;0.0
13380;0.0
13440;0.0
13500;0.0
13560;0.0
13620;0.0
13680;0.0
13740;0.0
13800;0.0
13860;0.0
13920;0.0
13980;0.0
14040;237.809
14100;220.47
14160;214.091
14220;211.744
14280;210.881
14340;210.563
14400;210.446
14460;210.403
14520;210.387
14580;210.382
14640;210.379
14700;210.379
14760;210.378
14820;371.43899999999996
14880;345.765
14940;336.31899999999996
15000;332.84499999999997
15060;331.567
15120;331.096
15180;330.923
15240;330.86
15300;330.836
15360;330.828
15420;330.82399999999996
15480;330.823
15540;330.823
15600;210.378
15660;210.378
15720;210.378
15780;210.378
15840;210.378
15900;0.0
15960;0.0
16020;0.0
16080;0.0
16140;0.0
16200;0.0
16260;0.0
16320;0.0
16380;0.0
16440;0.0
16500;0.0
16560;0.0
16620;0.0
16680;0.0
16740;0.0
16800;0.0
16860;0.0
16920;0.0
16980;0.0
17040;0.0
17100;0.0
17160;0.0
17220;0.0
17280;0.0
17340;0.0
17400;0.0
17460;219.351
17520;155.578
17580;132.117
17640;123.487
17700;120.312
17760;119.144
17820;118.714
17880;118.556
17940;118.498
18000;118.476
18060;118.468
18120;118.465
18180;118.464
18240;0.0
18300;0.0
18360;0.0
18420;0.0
18480;0.0
18540;0.0
18600;0.0
18660;0.0
18720;0.0
18780;0.0
18840;0.0
