Time duration [s];Power [W]
60;331.345
120;330.03999999999996
180;329.55899999999997
240;329.383
300;329.318
360;329.294
420;329.28499999999997
480;329.282
540;329.28
600;0.0
660;0.0
720;0.0
780;0.0
840;0.0
900;0.0
960;0.0
1020;0.0
1080;0.0
1140;0.0
1200;0.0
1260;0.0
1320;0.0
1380;0.0
1440;0.0
1500;0.0
1560;0.0
1620;0.0
1680;0.0
1740;0.0
1800;0.0
1860;0.0
1920;0.0
1980;0.0
2040;0.0
2100;0.0
2160;0.0
2220;0.0
2280;0.0
2340;0.0
2400;0.0
2460;0.0
2520;234.872
2580;162.936
2640;136.472
2700;126.737
2760;123.155
2820;121.838
2880;121.353
2940;121.175
3000;121.109
3060;121.085
3120;121.076
3180;121.073
3240;121.072
3300;121.071
3360;0.0
3420;0.0
3480;0.0
3540;0.0
3600;0.0
3660;0.0
3720;0.0
3780;0.0
3840;0.0
3900;0.0
3960;0.0
4020;0.0
4080;0.0
4140;0.0
4200;0.0
4260;0.0
4320;0.0
4380;0.0
4440;0.0
4500;0.0
4560;0.0
4620;0.0
4680;0.0
4740;257.949
4800;228.016
4860;217.005
4920;212.954
4980;211.464
5040;210.916
5100;210.714
5160;210.64
5220;210.612
5280;210.602
5340;210.599
5400;445.374
5460;371.851
5520;344.803
5580;334.853
5640;331.192
5700;329.846
5760;329.35
5820;329.168
5880;329.101
5940;329.076
6000;329.067
6060;329.064
6120;329.063
6180;329.062
6240;329.062
6300;210.597
6360;210.597
6420;210.597
6480;0.0
6540;0.0
6600;0.0
6660;0.0
6720;0.0
6780;0.0
6840;0.0
6900;0.0
6960;0.0
7020;0.0
7080;0.0
7140;0.0
7200;0.0
7260;0.0
7320;0.0
7380;0.0
7440;0.0
7500;0.0
7560;0.0
7620;0.0
7680;0.0
7740;0.0
7800;0.0
7860;0.0
7920;0.0
7980;0.0
8040;0.0
8100;0.0
8160;0.0
8220;0.0
8280;0.0
8340;0.0
8400;225.841
8460;159.158
8520;134.627
8580;125.603
8640;122.283
8700;121.061
8760;120.612
8820;120.447
8880;120.386
8940;120.364
9000;120.355
9060;120.352
9120;120.351
9180;120.351
9240;120.351
9300;120.351
9360;120.351
9420;120.351
9480;120.351
9540;0.0
9600;0.0
9660;0.0
9720;0.0
9780;0.0
9840;0.0
9900;0.0
9960;0.0
10020;0.0
10080;0.0
10140;0.0
10200;0.0
10260;0.0
10320;0.0
10380;0.0
10440;0.0
10500;0.0
10560;0.0
10620;0.0
10680;0.0
10740;0.0
10800;0.0
10860;0.0
10920;0.0
10980;0.0
11040;0.0
11100;0.0
11160;0.0
11220;0.0
11280;0.0
11340;0.0
11400;0.0
11460;0.0
11520;0.0
11580;0.0
11640;0.0
11700;0.0
11760;0.0
11820;0.0
11880;184.8
11940;143.165
12000;127.848
12060;122.213
12120;120.14
12180;119.378
12240;119.097
12300;118.994
12360;118.956
12420;118.942
12480;118.937
12540;118.935
12600;118.934
12660;118.934
12720;118.934
12780;118.934
12840;118.934
12900;0.0
12960;0.0
13020;0.0
13080;0.0
13140;0.0
13200;0.0
13260;0.0
13320;0.0
13380;0.0
13440;0.0
13500;0.0
13560;0.0
13620;0.0
13680;0.0
13740;0.0
13800;0.0
13860;0.0
13920;0.0
13980;0.0
14040;0.0
14100;0.0
14160;0.0
14220;0.0
14280;0.0
14340;0.0
14400;0.0
14460;0.0
14520;0.0
14580;0.0
14640;0.0
14700;0.0
14760;0.0
14820;0.0
14880;0.0
14940;0.0
15000;0.0
15060;0.0
15120;133.779
15180;124.433
15240;120.995
15300;119.73
15360;119.265
15420;119.093
15480;119.03
15540;119.007
15600;118.999
15660;118.996
15720;118.994
15780;118.994
15840;118.994
15900;118.994
15960;118.994
16020;118.994
16080;118.994
16140;0.0
16200;0.0
16260;0.0
16320;0.0
16380;0.0
16440;0.0
16500;0.0
