Time [s];Total Power [W];CO2 Level [ppm]
10620;5017129.42092;683.338690685
10680;5002967.90892;683.331256403
10740;5034440.91592;682.797974664
10800;5040842.75592;682.306492902
10860;4948139.62392;681.853534662
10920;4987642.59692;681.436080315
10980;4994974.01592;681.051346929
11040;4977961.83492;680.696769713
11100;5094360.42392;680.369984917
11160;4986326.62292;680.068814075
11220;4950681.07392;679.79124948
11280;5012211.93392;679.535440799
11340;4909074.10292;679.299682737
11400;4860294.11492;679.082403668
11460;4951400.29992;678.882155157
11520;4998614.97592;678.697602304
11580;4964446.58092;678.527514844
11640;5079495.81392;678.370758945
11700;5023284.29192;678.22628965
11760;5133094.43992;678.093143908
11820;5022577.67892;677.970434158
11880;5053775.01192;677.857342408
11940;5147225.37392;677.753114781
12000;5066780.86392;677.657056496
12060;5016105.55792;677.568527227
12120;5012225.03192;677.48693684
12180;4978065.71592;677.411741457
12240;5008763.23892;677.342439833
12300;5061624.36692;677.278570009
12360;5065421.37092;677.219706236
12420;5098579.39292;677.165456138
12480;5111208.95192;677.115458092
12540;5145836.72992;677.069378821
12600;5110178.93592;677.026911172
12660;4961984.97692;676.987772064
12720;5041097.94592;676.951700607
12780;4966931.83092;676.91845636
12840;4938955.65792;676.887817727
12900;4956507.16592;676.85958048
12960;5001507.94892;676.833556402
13020;5046168.25992;676.809572024
13080;5173780.87292;676.787467479
13140;5166555.64492;676.767095426
13200;5142063.80892;676.748320074
13260;5024483.81692;676.731016277
13320;4953779.20192;676.715068695
13380;4897209.77192;676.700371032
13440;4788961.05392;676.686825321
13500;4805781.53192;676.674341273
13560;4791453.05692;676.662835677
13620;4821869.80992;676.652231846
13680;4825490.79292;676.6424591
13740;4823308.29292;676.633452301
13800;4742426.27992;676.625151416
13860;4693524.14092;676.617501118
13920;4754972.82992;676.610450415
13980;4782316.36692;676.603952312
14040;4763416.07392;676.5979635
14100;4644075.87792;676.59244406
14160;4687226.52992;676.587357206
14220;4711230.23492;676.582669033
14280;4763128.95992;676.578348293
14340;4789978.10692;676.351505908
14400;4763651.38892;676.142443996
14460;4706889.38992;675.94976885
14520;4691610.27792;675.772196012
14580;4712790.08092;675.608541704
14640;4721662.41692;675.457714939
14700;4727581.61492;675.318710251
14760;4758691.90792;675.190600983
14820;4793149.62892;675.072533118
14880;4804884.56892;674.963719577
14940;4849061.74692;674.86343498
15000;4924229.91542;674.771010803
15060;4914549.48542;674.685830924
15120;4896895.37442;674.607327518
15180;4847804.11742;674.534977265
15240;4962255.11442;674.468297867
15300;4967964.95642;674.40684483
15360;5029298.74242;674.350208501
15420;4946965.91742;674.298011338
15480;5077534.08342;674.249905389
15540;5020789.98742;674.205569981
15600;5063274.75242;674.16470957
15660;5023927.08682;674.127051784
15720;5047505.99522;674.092345595
15780;4997138.98272;674.060359655
15840;5114056.99372;674.030880748
15900;5225423.60852;674.00371237
15960;5211143.26562;673.978673421
16020;5125469.96542;673.955596995
16080;5282614.76852;673.934329268
